Depth,Temperature [°C],Oxygen [mg/l],timestamp
1.0,22.2,7.7,2010-08-16 07:30:00
1.5,22.2,7.5,2010-08-16 07:30:00
2.0,22.2,7.67,2010-08-16 07:30:00
2.5,22.2,7.2,2010-08-16 07:30:00
3.0,22.2,7.4,2010-08-16 07:30:00
3.5,22.1,7.1,2010-08-16 07:30:00
4.0,22.0,6.7,2010-08-16 07:30:00
4.5,21.7,4.9,2010-08-16 07:30:00
5.0,20.7,2.0,2010-08-16 07:30:00
5.5,19.7,1.75,2010-08-16 07:30:00
6.0,16.0,0.0,2010-08-16 07:30:00
6.5,,,2010-08-16 07:30:00
7.0,,,2010-08-16 07:30:00
7.5,,,2010-08-16 07:30:00
8.0,,,2010-08-16 07:30:00
8.5,,,2010-08-16 07:30:00
9.0,,,2010-08-16 07:30:00
9.5,,,2010-08-16 07:30:00
10.0,,,2010-08-16 07:30:00
0.0,22.6,8.7,2010-08-16 17:15:00
0.5,22.6,8.6,2010-08-16 17:15:00
1.0,22.6,8.4,2010-08-16 17:15:00
1.5,22.6,8.4,2010-08-16 17:15:00
2.0,22.6,8.5,2010-08-16 17:15:00
2.5,22.5,8.2,2010-08-16 17:15:00
3.0,22.3,8.0,2010-08-16 17:15:00
3.5,22.2,7.7,2010-08-16 17:15:00
4.0,22.2,8.0,2010-08-16 17:15:00
4.5,22.1,7.3,2010-08-16 17:15:00
5.0,21.3,3.3,2010-08-16 17:15:00
5.5,19.2,1.4,2010-08-16 17:15:00
6.0,16.2,0.0,2010-08-16 17:15:00
6.5,,,2010-08-16 17:15:00
7.0,,,2010-08-16 17:15:00
7.5,,,2010-08-16 17:15:00
8.0,,,2010-08-16 17:15:00
8.5,,,2010-08-16 17:15:00
9.0,,,2010-08-16 17:15:00
9.5,,,2010-08-16 17:15:00
10.0,,,2010-08-16 17:15:00
0.0,22.2,8.4,2010-08-17 07:30:00
0.5,22.2,8.1,2010-08-17 07:30:00
1.0,22.2,8.3,2010-08-17 07:30:00
